=== GEN 3 ATOMIC SPECTRUM ===
Index  Ratio (L/r)                         Length                              Freq
--------------------------------------------------------------------------------------
1      (97 + -56*sqrt(3))/24               (2425 + -1400*sqrt(3))/6            x50
2      (-168 + 97*sqrt(3))/24              (-4200 + 2425*sqrt(3))/6            x105
3      (97 + -56*sqrt(3))/12               (2425 + -1400*sqrt(3))/3            x119
4      (-71 + 41*sqrt(3))/24               (-1775 + 1025*sqrt(3))/6            x319
5      (97 + -56*sqrt(3))/8                (2425 + -1400*sqrt(3))/2            x56
6      (-168 + 97*sqrt(3))/12              (-4200 + 2425*sqrt(3))/3            x119
7      (26 + -15*sqrt(3))/24               (650 + -375*sqrt(3))/6              x576
8      (97 + -56*sqrt(3))/6                (4850 + -2800*sqrt(3))/3            x29
9      (123 + -71*sqrt(3))/24              (3075 + -1775*sqrt(3))/6            x633
10     (-71 + 41*sqrt(3))/12               (-1775 + 1025*sqrt(3))/3            x905
11     (97 + -56*sqrt(3))/4                (2425 + -1400*sqrt(3))              x6
12     (-45 + 26*sqrt(3))/24               (-1125 + 650*sqrt(3))/6             x2234
13     (26 + -15*sqrt(3))/12               (650 + -375*sqrt(3))/3              x3713
14     (-71 + 41*sqrt(3))/8                (-1775 + 1025*sqrt(3))/2            x307
15     (149 + -86*sqrt(3))/24              (3725 + -2150*sqrt(3))/6            x19
16     (-116 + 67*sqrt(3))/24              (-2900 + 1675*sqrt(3))/6            x18
17     (123 + -71*sqrt(3))/12              (3075 + -1775*sqrt(3))/3            x838
18     (-19 + 11*sqrt(3))/24               (-475 + 275*sqrt(3))/6              x1219
19     (-71 + 41*sqrt(3))/6                (-3550 + 2050*sqrt(3))/3            x200
20     (26 + -15*sqrt(3))/8                (650 + -375*sqrt(3))/2              x2475
21     (-187 + 108*sqrt(3))/24             (-4675 + 2700*sqrt(3))/6            x2
22     (175 + -101*sqrt(3))/24             (4375 + -2525*sqrt(3))/6            x17
23     (-45 + 26*sqrt(3))/12               (-1125 + 650*sqrt(3))/3             x7490
24     (7 + -4*sqrt(3))/24                 (175 + -100*sqrt(3))/6              x697
25     (123 + -71*sqrt(3))/8               (3075 + -1775*sqrt(3))/2            x27
26     (-258 + 149*sqrt(3))/24             (-6450 + 3725*sqrt(3))/6            x15
27     (26 + -15*sqrt(3))/6                (1300 + -750*sqrt(3))/3             x3620
28     (-161 + 93*sqrt(3))/24              (-4025 + 2325*sqrt(3))/6            x8
29     (201 + -116*sqrt(3))/24             (5025 + -2900*sqrt(3))/6            x24
30     (-71 + 41*sqrt(3))/4                (-1775 + 1025*sqrt(3))              x138
31     (-64 + 37*sqrt(3))/24               (-1600 + 925*sqrt(3))/6             x152
32     (149 + -86*sqrt(3))/12              (3725 + -2150*sqrt(3))/3            x15
33     (33 + -19*sqrt(3))/24               (825 + -475*sqrt(3))/6              x4189
34     (-116 + 67*sqrt(3))/12              (-2900 + 1675*sqrt(3))/3            x32
